time,x_true,y_true,yaw_true,nkf_x,nkf_y,nkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,nkf_xy_error,nkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
0,0.991892,2.12415,-0.4336,0.994263,2.12305,-0.4336,0.994263,2.12305,-0.4336,0.994263,2.12305,-0.4336,0.00261287,0,0.002613,0,0.00261287,0
0.039,0.991883,2.12417,-0.4336,0.994385,2.123,-0.4336,0.994385,2.123,-0.4336,0.994385,2.123,-0.4336,0.0027618,0,0.00276204,0,0.0027618,0
0.0510001,0.991925,2.12414,-0.4336,0.996936,2.12181,-0.4336,0.996939,2.12181,-0.4336,0.996936,2.12181,-0.4336,0.00552296,0,0.00552559,0,0.00552296,0
0.0829999,0.991919,2.12412,-0.4336,0.997301,2.12165,-0.4336,0.997303,2.12164,-0.4336,0.997301,2.12165,-0.4336,0.00592215,0,0.00592533,0,0.00592215,0
0.102,0.991951,2.12404,-0.4336,1.00064,2.1201,-0.4336,1.00065,2.1201,-0.4336,1.00064,2.1201,-0.4336,0.00953934,0,0.00954781,0,0.00953935,0
0.144,0.991953,2.12405,-0.4336,1.00076,2.12004,-0.4336,1.00077,2.12004,-0.4336,1.00076,2.12004,-0.4336,0.00967551,0,0.00968429,0,0.00967552,0
0.164,0.992023,2.12408,-0.4333,1.00404,2.11853,-0.4336,1.00405,2.11852,-0.4336,1.00404,2.11853,-0.4336,0.0132351,0.0003,0.0132525,0.0003,0.0132351,0.0003
0.2,0.992005,2.12409,-0.4334,1.00416,2.11847,-0.4336,1.00417,2.11846,-0.4336,1.00416,2.11847,-0.4336,0.0133898,0.0002,0.0134077,0.0002,0.0133899,0.0002
0.215,0.991973,2.1241,-0.4334,1.0064,2.11743,-0.4336,1.00642,2.11742,-0.4336,1.0064,2.11743,-0.4336,0.0158923,0.0002,0.0159178,0.0002,0.0158923,0.0002
0.245,0.991879,2.12412,-0.4336,1.00695,2.11718,-0.4336,1.00697,2.11717,-0.4336,1.00695,2.11718,-0.4336,0.0165896,0,0.0166172,0,0.0165897,0
0.266,0.99187,2.12413,-0.4337,1.00864,2.1164,-0.4336,1.00867,2.11638,-0.4336,1.00864,2.1164,-0.4336,0.0184689,0.0001,0.0185032,0.0001,0.018469,0.0001
0.297,0.992518,2.12384,-0.4325,1.01004,2.11575,-0.4336,1.01007,2.11573,-0.4336,1.01004,2.11575,-0.4336,0.0192937,0.0011,0.0193338,0.0011,0.0192939,0.0011
0.317,0.992755,2.12372,-0.4321,1.01203,2.11482,-0.4336,1.01208,2.1148,-0.4336,1.01203,2.11482,-0.4336,0.0212316,0.0015,0.0212802,0.0015,0.0212317,0.0015
0.348,0.99413,2.12296,-0.4301,1.01446,2.1137,-0.4336,1.01451,2.11368,-0.4336,1.01446,2.1137,-0.4336,0.0223357,0.0035,0.0223957,0.0035,0.022336,0.0035
0.382,0.994556,2.12274,-0.4296,1.01464,2.11362,-0.4336,1.01469,2.11359,-0.4336,1.01464,2.11362,-0.4336,0.0220554,0.004,0.0221164,0.004,0.0220557,0.004
0.399,0.996719,2.1218,-0.4303,1.01694,2.11256,-0.4336,1.017,2.11252,-0.4336,1.01694,2.11255,-0.4336,0.0222326,0.0033,0.0223059,0.0033,0.0222329,0.0033
